Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (kt),EN.ATM.CO2E.KT,Germany,DEU,955310,932370,892750,887010,875810,873090,902750,870900,863140,833350,830080,847500,833180,836550,820830,802170,814160,783600,789550,734660,772920,746380,760020,777630,737490,742310,747150,732200,709540,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Germany,DEU,6639.73169146049,6564.79719472728,6445.87399989269,6288.41635005255,6244.95722825812,6327.70975399499,6403.33372597692,6427.79876840273,6479.49024948385,6505.13299942364,6635.42140596667,6762.65339646636,6900.78052702986,7009.72649196861,7108.96252447699,7138.22148529185,7212.43744768757,7229.08991294766,7187.76400909623,6817.15839823657,7264.32259073555,7281.27217417162,7270.15252302734,7217.52908915495,7035.48297471676,..,..,..,..,..,..
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Germany,DEU,58.7311238929974,59.1460660736881,57.1244134974291,57.378461090898,56.5280223912567,55.6226000067566,54.9605858821009,53.358600466049,54.1199366372482,52.1544851550552,53.1460931343513,51.8395355791341,52.6833735999753,52.0842341737864,50.429631569043,48.3458915232218,47.1638861318852,48.6523593771453,44.9947980705571,44.1135590864558,43.642422472362,44.8562977991792,46.0164689811742,47.241229490714,45.8101932990105,44.2628091617821,..,..,..,..,..
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Germany,DEU,3.1819592805624,2.77907380380945,3.25986748414757,3.42171192776088,3.79470873278053,4.08773042750378,3.98717247966646,3.16727218979181,3.11672324055216,3.55572849270195,3.79722284833649,3.90677899107385,3.97350993377483,2.9358701000492,3.28846924832885,3.18902240987334,3.16216028271053,3.34073474386227,3.22251647277657,3.22577911269463,3.34401029073562,2.91010954699059,3.48795449225451,3.63349106162463,3.14934929205162,2.9606828432665,..,..,..,..,..
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Germany,DEU,7.3879302474208,6.73856811726195,6.1627741384221,6.61719813124537,7.66386458620919,8.10414140769574,8.71959047814473,9.07427040698088,9.74519121973297,9.96534218932395,9.17242837398417,10.0414857893127,9.36689154125584,10.5824523734971,10.4888685250489,12.0227346541085,12.1318346472124,12.5607775741995,14.2316907847032,13.919107202788,14.4197975367988,14.3651149156495,12.4418407036513,10.859869340938,10.0122520251215,9.83155139032119,..,..,..,..,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Germany,DEU,27.8404090203597,27.4770167927648,29.7568543974576,29.3358495043896,28.6941289591683,28.7325408116153,29.0573116321131,31.0811279335634,29.2634532699706,30.7674488050747,29.6351821468322,29.4396153198393,28.3256064912347,27.3457885398184,27.3381824727338,26.4785644689834,26.435995018428,22.1780346966763,23.4078943220152,22.8711485068631,22.4321438660162,17.7809653046302,15.9463090691627,15.3710037996982,15.6171515488682,14.3199259868293,..,..,..,..,..
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Germany,DEU,1.8984753035698,2.75089301377686,2.47661484957052,1.93133991850515,1.67058577127027,1.68595419790021,1.44654624825901,1.25289455868587,1.15428830052048,1.05783239374169,0.836080955700814,0.817685938482796,0.742670382882496,1.71188678651365,1.76319945017632,1.94819746670997,1.73138074255767,1.57923060049269,1.52558403480564,1.70620001830614,1.39502667643393,1.17945812775432,1.22282826533786,1.13722361342613,0.909897771160469,0.968692616000512,..,..,..,..,..
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Germany,DEU,68.0175294439879,68.6355272047269,65.7638024854217,65.9269991406485,65.8624727487362,65.4126956123525,65.1267226085046,63.6857654317158,65.0194161575017,63.1776597381209,63.1546024640363,62.6987073069295,62.7929355241136,64.3785733337972,62.6816995442682,62.3168236440403,61.0271015216553,62.7923675518375,60.7520728900659,59.7388663075499,59.4572466855947,60.400870842583,59.6811379501634,59.2383224450782,56.7323430952925,55.0630531681038,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,Germany,DEU,0.304391490915731,0.389678738993629,0.438096808526586,0.505658513991736,0.666977656343713,0.779258803259674,0.83422463777327,1.0410374974225,1.39144602851324,1.64149526282927,2.40130837496265,2.60566502717027,3.66919034837805,4.61710760218223,5.9790052445979,6.9611886976291,8.15985282868576,10.5972733140486,11.4767174248873,12.8527745666699,13.3830633770785,17.4731731738326,19.5125040483039,20.4390586859838,22.9807472770598,26.2710872790643,..,..,..,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Germany,DEU,46.9936195790611,51.1178536550381,51.6908338460102,54.5723663084464,56.4139732254878,56.9350971287061,58.8505278627226,58.3931547021266,60.3608430537171,59.0802692755327,59.823394858565,61.1764619380255,60.3408053046623,59.9777430063876,59.7385108217952,59.4662125758328,60.0112561756504,58.4642300466533,60.0031535195736,59.3175464598352,60.6644097086953,60.5645102225714,60.6954585991601,62.093783982408,60.8759102791018,61.4001693687375,..,..,..,..,..
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,Germany,DEU,32.1556112757389,31.2913385826772,30.6273062730627,31.5398886827458,29.8038870811714,29.7050938337802,29.4782289178762,29.9135556188848,28.9287875731289,30.6395939086294,30.0393156944002,28.2716049382716,27.2737983034873,26.3818159234878,23.7085737286999,21.8400566171267,20.818345323741,19.9782338308458,19.9338686820973,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Germany,DEU,4421.36453086788,4302.89117530285,4190.98422047326,4122.69573982757,4088.79812984419,4119.68894801371,4246.55319132624,4203.35736659763,4177.29412931179,4079.93334441166,4094.0603595302,4209.79608663882,4108.40129887204,4084.50334562012,4114.38992751247,4086.50340728713,4204.65468948158,3985.81195485319,4036.83078099396,3790.50115157318,3997.07942080976,3869.81622904859,3876.94810409338,3939.52956270835,3779.46192078536,3817.54941455461,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Germany,DEU,86.8378846422216,87.0963647688039,85.9528487218234,86.009309164167,86.0218094231372,85.8109547056758,85.9086975341013,84.6294606624236,84.9224619914077,83.9313716428922,83.6219751354806,83.6050330188045,83.2781567929544,83.1823140879026,82.5660216166658,81.8556762682578,81.2718831767448,81.2719501564706,80.8022517833709,79.9674688538157,79.560350259586,80.3702087567313,80.6252229786616,81.0882680135356,79.7105269369918,78.862551056755,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
